time,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,ema_20,atr
2020-02-20,1606.5,1621.0,1603.0,1616.5999755859375,117,72.80799498923473,12.804038234928385,8.75883529364465,4.045202941283735,1577.469842414216,14.453809065625208
2020-02-21,1619.300048828125,1645.0,1619.300048828125,1644.5999755859375,186,78.87208333979393,16.56141958567082,10.319352152049884,6.242067433620935,1583.8631884305703,15.4499673047993
2020-02-24,1657.0,1686.5999755859375,1650.0,1672.4000244140625,435,82.94002631402215,21.534170469713672,12.562315815582643,8.971854654131029,1592.2952680480457,17.34639821159935
2020-02-25,1645.0999755859375,1653.699951171875,1632.300048828125,1646.9000244140625,409,69.68612322570152,23.1506086783545,14.679974388137015,8.470634290217486,1597.4957210352854,18.97165373833779
2020-02-26,1644.0,1648.0999755859375,1636.4000244140625,1640.0,1990,66.5854630144276,23.60279497199849,16.46453850490931,7.138256467089182,1601.5437476033535,18.452246412161877
2020-02-27,1641.0999755859375,1658.0,1638.5,1640.0,707,66.5854630144276,23.688094262209688,17.909249656369386,5.778844605840302,1605.2062478316054,18.527085954150316
2020-02-28,1640.300048828125,1642.5,1564.0999755859375,1564.0999755859375,289,42.475128778429244,17.430271596014563,17.81345404429842,-0.3831824482838577,1601.2913647605894,22.803724415572617
2020-03-02,1583.9000244140625,1608.300048828125,1574.300048828125,1592.300048828125,537,49.75479450845929,14.57836199827534,17.166435635093805,-2.5880736368184643,1600.4350489574977,24.33203504604511
2020-03-03,1594.5,1645.300048828125,1594.0,1642.0999755859375,610,59.50150050860912,16.15046844228482,16.963242196532008,-0.8127737542471891,1604.4031372078252,26.379746828470463
2020-03-04,1645.4000244140625,1645.9000244140625,1631.300048828125,1641.0999755859375,83,59.252941713325306,17.11835276802117,16.99426431082984,0.124088457191327,1607.8980741962168,25.538334596860967
2020-03-05,1637.300048828125,1672.9000244140625,1637.199951171875,1666.4000244140625,154,63.41673984166301,19.699823268570753,17.535376102378024,2.16444716619273,1613.4696885026783,26.26417307152715
2020-03-06,1670.800048828125,1686.199951171875,1647.199951171875,1670.800048828125,175,64.1037464886693,21.848842579598113,18.39806939782204,3.4507731817760714,1618.9297228193875,27.173874994989497
2020-03-09,1696.0999755859375,1701.5999755859375,1657.699951171875,1674.5,161,64.70399307568309,23.57871030901879,19.434197580061394,4.144512728957395,1624.222130169922,28.368599953494712
2020-03-10,1671.5999755859375,1674.5999755859375,1643.0,1659.0999755859375,48,60.19237666977268,23.43682455620069,20.234722975289255,3.2021015809114353,1627.543829733352,28.5994124986692
2020-03-11,1656.5999755859375,1666.5,1635.0,1641.4000244140625,47,55.41019464977611,21.646612268273884,20.517100833886182,1.1295114343877017,1628.863467321991,28.80659732019283
2020-03-12,1637.0,1647.5,1566.4000244140625,1589.300048828125,256,44.26279482968345,15.841215844743374,19.581923836057623,-3.740707991314249,1625.0955227035276,32.541838624888875
2020-03-13,1574.9000244140625,1589.800048828125,1513.800048828125,1515.699951171875,89,33.89026995994335,5.241068795669662,16.71375282798003,-11.472684032310369,1614.6768968433703,35.645993008825386
2020-03-16,1569.0999755859375,1569.0999755859375,1452.0999755859375,1485.9000244140625,193,30.748390430856745,-5.500819132810875,12.270838435821851,-17.771657568632726,1602.4124328024839,41.456993508195005
2020-03-17,1469.300048828125,1537.699951171875,1469.300048828125,1524.9000244140625,122,38.751260229856115,-10.743029684950216,7.668064811667438,-18.411094496617654,1595.0302986702532,43.381486996448935
2020-03-18,1537.5,1542.0,1477.300048828125,1477.300048828125,333,33.6413210877074,-18.52489606530571,2.4294726362728087,-20.95436870157852,1583.8178939233837,44.90423443755079
2020-03-19,1481.5,1491.5999755859375,1471.0,1478.5999755859375,262,33.89767706931275,-24.306992136866256,-2.917820318355005,-21.38917181851125,1573.797139796008,43.16821594814984
2020-03-20,1483.5,1484.0,1483.5,1484.0,14,35.020683863264935,-28.12935044894016,-7.9601263444720365,-20.16922410446812,1565.2450312440071,40.470487981429315
2020-03-23,1505.300048828125,1567.0,1490.199951171875,1567.0,51,49.28290291136034,-24.182430602856357,-11.204587196148902,-12.977843406707455,1565.4121711255302,43.50831026847008
2020-03-24,1592.699951171875,1685.5,1592.699951171875,1660.199951171875,442,59.920751634223606,-13.379777289759659,-11.639625214871053,-1.7401520748886057,1574.4395787489916,48.86485953500794
2020-03-25,1676.5,1676.5,1631.0999755859375,1632.300048828125,476,56.125575705258434,-6.98931716259267,-10.709563604415377,3.7202464418227077,1579.9500997089092,48.617371312083264
2020-03-26,1660.5,1660.5,1650.0999755859375,1650.0999755859375,3,57.9552211890674,-0.48295889239307144,-8.664242662010917,8.181283769617846,1586.631040268626,47.15898415921124
2020-03-27,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638,54.36173658123636,2.530094461059889,-6.425375237396756,8.955469698456646,1590.1804673300962,45.66191037440151
2020-03-30,1641.199951171875,1652.800048828125,1607.199951171875,1622.0,16389,54.099760316830256,4.710346913372177,-4.19823080724297,8.908577720615147,1593.2108990129443,45.65749518024783
2020-03-31,1618.699951171875,1621.0,1576.0,1583.4000244140625,2874,48.93983241750099,3.2856424128767685,-2.7014561632190226,5.987098576095791,1592.276530003527,45.681959810230126
2020-04-01,1570.0,1600.0,1570.0,1578.199951171875,2158,48.27187379018427,1.7171570622529089,-1.8177335181246363,3.534890580377545,1590.9359034481315,44.56181982378512
2020-04-02,1590.9000244140625,1631.199951171875,1586.0,1625.699951171875,1294,54.394939924044095,4.257891821026078,-0.6026084502944935,4.860500271320571,1594.2467651361071,45.164546979229044
2020-04-03,1624.5,1636.0,1619.800048828125,1633.699951171875,643,55.35348130087323,6.838149631221313,0.8855431660086678,5.952606465212646,1598.0042114252278,43.09564727870376
2020-04-06,1629.0999755859375,1696.699951171875,1625.9000244140625,1677.0,1063,60.22626656995746,12.235926458760787,3.155619824559092,9.080306634201694,1605.5276198609204,45.07452438435438
2020-04-07,1695.699951171875,1724.4000244140625,1658.0,1664.800048828125,1144,58.295718059733574,15.35229765228155,5.594955390103584,9.757342262177966,1611.1726130958923,46.59777438647639
2020-04-08,1669.699951171875,1677.0,1662.5,1665.4000244140625,747,58.36639844820701,17.666805356028817,8.009325383288632,9.657479972740186,1616.3371284595275,44.30507621601379
2020-04-09,1662.699951171875,1736.199951171875,1662.699951171875,1736.199951171875,825,65.74433052477559,24.92669238259623,11.392798783150152,13.533893599446078,1627.752635384513,46.39042791486994
2020-04-13,1722.0,1756.800048828125,1710.699951171875,1744.800048828125,696,66.52044468951661,31.016620864506876,15.317563199421498,15.699057665085379,1638.9000080934284,46.36969003925423
2020-04-14,1756.800048828125,1775.0,1739.5,1756.699951171875,675,67.61384023958979,36.38374654739118,19.530799869015436,16.852946678375748,1650.1190502913757,45.593283607878924
2020-04-15,1739.4000244140625,1744.9000244140625,1722.699951171875,1727.199951171875,642,62.19144039981451,37.820853603242085,23.188810615860767,14.632042987381318,1657.460088470471,44.765191921601854
2020-04-16,1731.0,1750.5999755859375,1715.0,1720.4000244140625,162,60.97751346246008,37.97334100132548,26.145716692953712,11.827624308371767,1663.4543680841464,44.11053361191154
2020-04-17,1715.699951171875,1725.0,1684.9000244140625,1689.199951171875,223,55.613631074578805,35.171171826642876,27.950807719691547,7.22036410695133,1665.9063283782157,43.82406518148482
2020-04-20,1686.0,1701.5999755859375,1680.0,1701.5999755859375,106,57.22412841976997,33.564104798863355,29.07346713552591,4.490637663337445,1669.3057233503796,42.236630210374294
2020-04-21,1697.0,1707.0999755859375,1659.9000244140625,1678.199951171875,666,53.29433352728717,30.055841165163883,29.269941941453506,0.785899223710377,1670.1527926667125,42.59115313619577
2020-04-22,1696.0,1728.699951171875,1684.800048828125,1728.699951171875,453,59.72282982496939,30.99317488616657,29.614588530396123,1.378586355770448,1675.728712524347,43.15607076932464
2020-04-23,1734.0,1745.0999755859375,1733.300048828125,1733.300048828125,482,60.25940984013112,31.741313940599866,30.039933612436872,1.701380328162994,1681.2116969342305,41.24492460109163
2020-04-24,1744.0,1744.0,1714.5,1723.5,221,58.47221875858125,31.183968120142026,30.268740513977903,0.9152276061641231,1685.2391543690658,40.40600141529937
2020-04-27,1731.9000244140625,1731.9000244140625,1711.9000244140625,1711.9000244140625,169,56.34215271094072,29.466574132926326,30.10830723776759,-0.6417331048412649,1687.7782848495417,38.94842988563513
2020-04-28,1716.5999755859375,1716.5999755859375,1707.0999755859375,1710.5,1255,56.07663794314618,27.67355325939434,29.621356442092942,-1.9478031826986033,1689.942257721014,36.84497060808976
2020-04-29,1710.0,1713.5,1702.0,1703.4000244140625,373,54.669596014676785,25.38701687858179,28.774488529390712,-3.387471650808923,1691.2239497870185,35.03461556465478
2020-04-30,1719.300048828125,1719.300048828125,1680.800048828125,1684.199951171875,327,50.94677239686735,21.774630488214143,27.3745169211554,-5.599886432941258,1690.5549975379572,35.282143024322295
2020-05-01,1686.5999755859375,1701.5,1670.5,1694.5,337,52.803538159819546,19.51792561038951,25.803198659002224,-6.285273048612712,1690.9307120581518,34.97627566544213
2020-05-04,1702.5999755859375,1709.0,1699.5999755859375,1706.9000244140625,320,55.01134212274516,18.51660122221415,24.34587917164461,-5.8292779494304625,1692.4515989491908,33.513684546481976
2020-05-05,1701.5,1704.4000244140625,1697.199951171875,1704.4000244140625,82,54.45822550812472,17.321642214701114,22.941031780255912,-5.619389565554798,1693.5895442315596,31.81271231046094
2020-05-06,1704.0,1704.0,1684.199951171875,1684.199951171875,469,50.07695567540285,14.576621283914392,21.26814968098761,-6.691528397073217,1692.6952972734944,30.983238091298553
2020-05-07,1686.199951171875,1721.800048828125,1685.5999755859375,1721.800048828125,853,57.010009564457015,15.25928650691435,20.06637704617296,-4.80709053925861,1695.4671783739354,31.455870917366514
2020-05-08,1726.199951171875,1728.9000244140625,1703.800048828125,1709.9000244140625,330,54.43349105784608,14.670953477579815,18.98729233245433,-4.316338854874516,1696.8417351396618,31.001878393693012
2020-05-11,1702.300048828125,1704.5,1690.199951171875,1695.300048828125,749,51.36624290163075,12.878148026344661,17.765463471232398,-4.8873154448877365,1696.6949078718962,30.194606597156906
2020-05-12,1699.300048828125,1713.0999755859375,1699.300048828125,1704.4000244140625,324,53.13867682582311,12.052692827516012,16.62290934248912,-4.570216514973108,1697.4287284949596,29.30927232291802
2020-05-13,1702.0,1721.300048828125,1701.9000244140625,1713.9000244140625,431,54.98316245648115,12.026450801909277,15.703617634373153,-3.6771668324638753,1698.997423344398,28.601468900856908
2020-05-14,1724.300048828125,1743.0999755859375,1720.5,1738.0999755859375,672,59.3702878016604,13.799317675308203,15.322757642560163,-1.52343996725196,1702.7214759388303,28.644217634501057
2020-05-15,1739.699951171875,1753.4000244140625,1739.699951171875,1753.4000244140625,719,61.898481559804665,16.251575472091645,15.50852120846646,0.7430542636251847,1707.548004365043,27.69106271975991
2020-05-18,1755.699951171875,1770.5,1731.800048828125,1731.800048828125,229,56.548719001557295,16.26458195591158,15.659733357955485,0.6048485979560958,1709.8577228853364,28.47741189491099
2020-05-19,1744.199951171875,1749.5,1744.199951171875,1744.199951171875,167,58.75266087743147,17.07858685862334,15.943504058089056,1.135082800534283,1713.1284112935782,27.70759327183699
2020-05-20,1751.5999755859375,1752.0999755859375,1745.5999755859375,1750.5999755859375,16,59.88367174445011,18.032255475161946,16.361254341503635,1.6710011336583115,1716.6971317023742,26.2927669248531
2020-05-21,1746.800048828125,1746.800048828125,1720.5,1720.5,528,52.58119048447765,16.17279829921108,16.323563133045123,-0.15076483383404238,1717.0593096354814,26.564710400644845
2020-05-22,1726.5999755859375,1734.5999755859375,1726.5999755859375,1734.5999755859375,6,55.32922639927616,15.656437614945617,16.190138029425224,-0.5337004144796076,1718.7298492498105,25.674372199594323
2020-05-26,1726.4000244140625,1726.4000244140625,1704.800048828125,1704.800048828125,39,48.88161540803097,12.696258447277614,15.491362112995704,-2.7951036657180897,1717.4032015906023,25.969054668038478
2020-05-27,1685.5999755859375,1710.300048828125,1685.5999755859375,1710.300048828125,137416,50.038817249700344,10.671089487454765,14.527307587887517,-3.856218100432752,1716.7267108513188,25.87841313762055
2020-05-28,1709.300048828125,1727.800048828125,1705.0,1713.300048828125,23355,50.6944655122954,9.202127031895998,13.462271476689214,-4.260144444793216,1716.4003620872052,25.658529972656584
2020-05-29,1718.800048828125,1738.300048828125,1715.0999755859375,1736.9000244140625,1526,55.62763220016009,9.82898211166821,12.735613603685014,-2.9066314920168033,1718.352710880239,25.61149211746683
2020-06-01,1740.4000244140625,1747.0,1727.0999755859375,1737.800048828125,871,55.80922105755005,10.279893513618163,12.244469585671645,-1.9645760720534824,1720.2048383038473,25.203530138652237
2020-06-02,1743.0,1745.5,1721.800048828125,1725.199951171875,741,52.56593475690715,9.510885898537708,11.697752848244859,-2.1868669497071505,1720.6805633388976,25.09613164102529
2020-06-03,1726.300048828125,1726.300048828125,1684.5,1697.800048828125,2755,46.26899957112688,6.614253695214984,10.681053017638884,-4.0667993224239005,1718.501466718824,26.289268582960982
2020-06-04,1694.5,1718.9000244140625,1694.5,1718.9000244140625,807,51.1244966351941,5.952625335419043,9.735367481194917,-3.782742145775874,1718.539424594561,26.154322570896802
2020-06-05,1711.800048828125,1711.800048828125,1668.5999755859375,1676.199951171875,1502,42.7125643885656,1.9601457027499691,8.180323125505927,-6.220177422755958,1714.5070937924006,27.879017303555962
2020-06-08,1679.0999755859375,1699.4000244140625,1675.9000244140625,1698.300048828125,587,47.525045600514005,0.572767504972262,6.658812001399195,-6.086044496426933,1712.963565700565,27.566230353301965
2020-06-09,1694.5999755859375,1720.9000244140625,1692.0,1714.699951171875,690,50.826266605423776,0.7875173374970927,5.484553068618775,-4.697035731121682,1713.1289357454516,27.661501357642003
2020-06-10,1716.0999755859375,1740.800048828125,1711.9000244140625,1713.300048828125,718,50.534021294939734,0.8351209527945684,4.554666645453934,-3.7195456926593655,1713.1452322295156,27.749967290243465
2020-06-11,1737.199951171875,1744.0999755859375,1720.0,1732.0,347,54.31303980438458,2.3546341813078016,4.114660152624707,-1.7600259713169057,1714.9409243981331,27.967821537926966
2020-06-12,1724.9000244140625,1743.0,1724.9000244140625,1729.300048828125,318,53.67544004080308,3.302921840291674,3.952312490158101,-0.6493906498664268,1716.3084600581324,27.262975398499147
